"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"34","Vitek Vanecek","S.J","18","753.6","404","363","41","0.899","3.26","-5.39","36.28","102","82","20","0.804","1.59","-1.61","96","81","15","0.844","1.19","-3.93","187","181","6","0.968","0.48","0.17","29","86","36.50","18.85"
"38","Ville Husso","DET","9","363.8","174","156","18","0.897","2.97","-2.66","14.79","37","30","7","0.811","1.15","-0.33","34","32","2","0.941","0.33","1.92","90","81","9","0.900","1.48","-6.03","10","28","39.07","25.00"
"48","Ivan Fedotov","PHI","19","862.73333333333","400","358","42","0.895","2.92","-6.74","36.16","89","70","19","0.787","1.32","-2.95","106","87","19","0.821","1.32","-6.77","174","170","4","0.977","0.28","1.74","37","81","38.92","20.74"
"71","Samuel Ersson","PHI","36","1592.45","670","599","71","0.894","2.68","-11.95","57.74","150","123","27","0.820","1.02","0.05","176","148","28","0.841","1.05","-7.70","297","281","16","0.946","0.60","-6.20","64","126","37.98","23.39"
"21","Matt Murray","TOR","2","97.7","46","41","5","0.891","3.07","-0.95","3.64","8","7","1","0.875","0.61","0.44","17","14","3","0.824","1.84","-1.04","21","20","1","0.952","0.61","-0.31","5","8","34.72","25.80"
"64","Alexandar Georgiev","COL, S.J","37","1672.6166666667","764","679","85","0.889","3.05","-17.66","75.72","216","168","48","0.778","1.72","-9.05","204","184","20","0.902","0.72","3.53","309","292","17","0.945","0.61","-6.81","74","146","33.63","19.27"
"83","Joel Blomqvist","PIT","15","643.53333333333","341","303","38","0.889","3.54","-7.95","29.69","91","77","14","0.846","1.31","2.41","88","73","15","0.830","1.40","-4.85","140","131","9","0.936","0.84","-4.38","32","57","36.46","23.53"
"28","Tristan Jarry","PIT","22","1032.7","471","418","53","0.887","3.08","-11.49","42.83","125","98","27","0.784","1.57","-4.46","117","97","20","0.829","1.16","-6.50","208","202","6","0.971","0.35","0.86","46","91","35.72","18.21"
"61","Daniil Tarasov","CBJ","15","749.63333333333","350","310","40","0.886","3.20","-9.15","35.66","100","77","23","0.770","1.84","-4.97","76","65","11","0.855","0.88","-2.23","163","157","6","0.963","0.48","-0.62","28","86","34.64","19.90"
"87","Jesper Wallstedt","MIN","2","101.33333333333","44","39","5","0.886","2.96","-1.12","3.8","9","7","2","0.778","1.18","-0.38","12","9","3","0.750","1.78","-1.62","22","22","0","1.000","0.00","0.73","3","12","34.02","19.20"
"88","Aleksei Kolosov","PHI","15","668.23333333333","272","240","32","0.882","2.87","-8.03","26.59","69","50","19","0.725","1.71","-6.56","75","66","9","0.880","0.81","-0.35","115","111","4","0.965","0.36","-0.21","29","63","33.73","16.69"
"7","Dustin Tokarski","CAR","6","285.73333333333","99","87","12","0.879","2.52","-3.27","9.61","27","21","6","0.778","1.26","-1.13","24","19","5","0.792","1.05","-2.23","40","39","1","0.975","0.21","0.32","8","16","38.13","22.00"
"73","Trent Miner","COL","2","85.383333333333","33","29","4","0.879","2.81","-1.09","2.21","6","4","2","0.667","1.41","-0.92","9","7","2","0.778","1.41","-0.96","15","15","0","1.000","0.00","0.49","3","5","47.15","22.75"
